epoch,elapsed,loss,acc,val_loss,val_acc
0,24.680896043777466,1.85205052497,0.317161491677,1.54916535854,0.4343
1,22.733519077301025,1.57641127519,0.423871277618,1.36812669888,0.5099
2,22.763373136520386,1.44817209377,0.479606948447,1.26161101742,0.5542
3,22.69405508041382,1.35596806427,0.51498959334,1.20996497288,0.5731
4,22.6298086643219,1.28111600235,0.545028818444,1.14219000683,0.6004
5,22.64225482940674,1.21515907567,0.569924751841,1.02654787807,0.6435
6,22.87989640235901,1.15578332531,0.591758725584,0.982537799835,0.6601
7,22.843209743499756,1.10864233868,0.609209894332,0.943335463619,0.6717
8,22.813477277755737,1.06944403338,0.628322126161,0.919854345894,0.6826
9,22.875725269317627,1.03363712884,0.635046429715,0.878777008057,0.6945
10,22.811045169830322,1.00670197136,0.645733269292,0.862356155968,0.7074
11,22.763717889785767,0.978686167955,0.657040505924,0.844085091496,0.707
12,22.722578287124634,0.960730601724,0.663024335575,0.820674652958,0.7191
13,22.953137159347534,0.934938031055,0.672830611591,0.788127351093,0.7279
14,22.782166004180908,0.924519697959,0.675972622478,0.79247159853,0.7314
15,22.825198888778687,0.905551455645,0.684798270893,0.764042664719,0.7372
16,22.762970447540283,0.900875713918,0.686439321166,0.755140897274,0.7382
17,22.811407327651978,0.886637190329,0.692002881844,0.775164146519,0.7322
18,22.793503999710083,0.869793686392,0.697146173551,0.779991077423,0.7309
19,22.791938066482544,0.866062001696,0.699427633686,0.763022562504,0.7426
