epoch,elapsed,loss,acc,val_loss,val_acc
0,171.07777047157288,0.347420467718,0.894716666698,0.0787655653737,0.9739
1,170.80398392677307,0.116915945359,0.965466666667,0.0528190633629,0.9828
2,170.84755563735962,0.0878890037417,0.9745,0.0443108939383,0.9857
3,170.4660665988922,0.073181185017,0.97805,0.0378947370795,0.9876
4,170.60217785835266,0.0624291529506,0.981133333333,0.0373114578257,0.9879
5,171.0915560722351,0.0568341762071,0.982666666635,0.0349832689784,0.9893
6,172.44634747505188,0.0517371732185,0.984750000032,0.0334616508623,0.9889
7,171.27500772476196,0.0484984309236,0.9859,0.032141238769,0.9894
8,171.13212323188782,0.043782446455,0.986683333302,0.0311835004573,0.9897
9,170.88388538360596,0.0418179302216,0.987633333333,0.0299772129359,0.9904
10,170.25242853164673,0.0404795572132,0.987866666635,0.0324570748076,0.9899
11,170.54424118995667,0.0366761713466,0.988733333333,0.0276439421091,0.9913
