epoch,elapsed,loss,acc,val_loss,val_acc
0,5.8355934619903564,0.2444858663,0.925066666635,0.113427312994,0.9667
1,2.45989727973938,0.101846565338,0.969316666635,0.0820839781925,0.9756
2,2.4481451511383057,0.0749057830423,0.977700000032,0.0902011307925,0.9736
3,2.4529385566711426,0.0608859462117,0.981749999968,0.0681737517572,0.9814
4,2.440972328186035,0.0485045468812,0.985899999968,0.0858624306245,0.9787
5,2.459883689880371,0.0443471471258,0.987183333333,0.0884542341058,0.9785
6,2.443431854248047,0.0407338126546,0.987816666667,0.0675441416791,0.983
7,2.4414732456207275,0.0334004328215,0.989799999968,0.0791114036637,0.9831
8,2.4635169506073,0.0323430258551,0.990700000032,0.0859685140914,0.9808
9,2.45984148979187,0.0293601000066,0.991533333365,0.089260603544,0.9831
10,2.461794853210449,0.0276035566692,0.99195,0.0947643980534,0.9833
11,2.439141273498535,0.0256010328523,0.992583333365,0.0995386784052,0.9808
12,2.459310293197632,0.0254067907818,0.993283333302,0.0959611307772,0.9831
13,2.4393296241760254,0.0225550981978,0.994083333333,0.104555756766,0.9843
14,2.449064254760742,0.0226402041015,0.993916666635,0.107554979806,0.9817
15,2.4458372592926025,0.0204898007169,0.9943,0.106663116314,0.9829
16,2.426809549331665,0.0204630702833,0.994650000032,0.109788880571,0.9834
17,2.440866708755493,0.0193670750754,0.9951,0.102880917469,0.9835
18,2.4402878284454346,0.0213065307389,0.994566666698,0.131490955228,0.9805
19,2.4297218322753906,0.0198116239879,0.995050000032,0.109779819421,0.9833
